,precision,recall,f1-score,support
Borate,0.0,0.0,0.0,0.0
Carbonate,0.9047619047619048,1.0,0.95,19.0
Glass,0.0,0.0,0.0,2.0
K-Feldspar,1.0,0.75,0.8571428571428571,4.0
Olivine,1.0,0.8,0.8888888888888888,5.0
Other Silicates,0.8181818181818182,0.5294117647058824,0.6428571428571429,17.0
Oxides/Hydroxides,0.5,0.5,0.5,8.0
Phosphate,1.0,0.7142857142857143,0.8333333333333334,14.0
Phyllosilicates,0.5714285714285714,0.7058823529411765,0.631578947368421,17.0
Plagioclase,0.6363636363636364,1.0,0.7777777777777778,7.0
Pyroxene,0.9166666666666666,0.9166666666666666,0.9166666666666666,24.0
Silica Phase,1.0,1.0,1.0,2.0
Sulfate,0.7222222222222222,0.9285714285714286,0.8125,14.0
accuracy,0.7894736842105263,0.7894736842105263,0.7894736842105263,0.7894736842105263
macro avg,0.6976634476634478,0.6803706097823745,0.6777496626180837,133.0
weighted avg,0.799845935184281,0.7894736842105263,0.7825153422403126,133.0
